first_mentioned,direct_report,blocker,severity,status,resolved_date
2025-09-14,Alex Rodriguez,Feature request overload,Medium,Resolved,2025-09-20
2025-09-14,Alex Rodriguez,API vendor unresponsive,High,Resolved,2025-09-16
2025-09-14,Alex Rodriguez,Data science team capacity,High,Resolved,2025-09-17
2025-09-21,Alex Rodriguez,Search feature plateau,High,Active,
2025-10-06,Alex Rodriguez,Android performance issues,Medium,Active,
2025-09-07,Javier Morales,Automation timeline unclear,High,Active,
2025-09-07,Javier Morales,Frontend technical debt,High,Active,
2025-09-07,Javier Morales,Checkout bug edge case,High,Resolved,2025-09-10
2025-09-22,Javier Morales,Flaky tests undermining CI/CD,High,Active,
2025-09-22,Javier Morales,Tooling evaluation paralysis,Medium,Active,
